Course Code,Course Title,Credit,Distribution,Recommended Prep,Pre Requisites,Exclusion
 ANT101H5 , Introduction to Biological Anthropology and Archaeology ,0.5,Science,None,None,ANT100Y1 or  ANTA01H3
 ANT102H5 , Introduction to Sociocultural and Linguistic Anthropology ,0.5,Social Science,None,None,ANT100Y1 or  ANTA02H3
 ANT200H5 , Introduction to the Practice of Archaeology ,0.5,Science,None,ANT101H5,ANT200Y5 or  ANT200Y1
 ANT201H5 , World Prehistory ,0.5,Science,ANT102H5,ANT101H5,ANT200Y5 or  ANT200Y1
 ANT202H5 , Biological Anthropology: Human Variation and Adaptation ,0.5,Science,None,ANT101H5 or  BIO152H5,ANT203Y5 or  ANT203Y1 or  ANTB15H3
 ANT203H5 , Biological Anthropology: Primatology and Palaeoanthropology ,0.5,Science,None,ANT101H5 or  BIO153H5,ANT203Y5 or  ANT203Y1 or  ANTB14H3
 ANT204H5 , Sociocultural Anthropology ,0.5,Social Science,None,ANT102H5,ANT204Y5 or  ANT207H1 or  ANTB19H3
 ANT205H5 , Introduction to Forensic Anthropology ,0.5,Science,None,ANT101H5 or  BIO152H5,None
 ANT206H5 , Culture and Communication ,0.5,Social Science,None,ANT102H5,ANT206Y5 or  ANT253H1 or  ANTB21H3
 ANT207H5 , Being Human: Classic Thought on Self and Society ,0.5,Social Science,None,ANT102H5,ANT204Y5
 ANT208H5 , The Culture Machine: The Anthropology of Everyday Life ,0.5,Social Science,None,None,None
 ANT209H5 ," War, Trade and Aid: The Anthropology of Global Intervention ",0.5,Social Science,None,None,None
 ANT210H5 ," Fantasies, Hoaxes and Misrepresentations of the Ancient World ",0.5,Science,None,None,None
 ANT211H5 ," Sex, Evolution and Behaviour ",0.5,Science,None,None,ANT331H5
 ANT212H5 , Who am I? Topics in Identity and Difference ,0.5,Social Science,None,None,None
 ANT214H5 , Anthropology of Food and Nutrition ,0.5,Science,None,None,None
 ANT215H5 , How Should One Live? An Introduction to the Anthropology of Ethics ,0.5,Social Science,ANT102H5,None,None
 ANT216H5 ," Racketeers, Smugglers and Pirates: Anthropology of Illegality ",0.5,Social Science,None,None,None
 ANT217H5 , Anthropology of Law ,0.5,Social Science,None,None,None
 ANT218H5 , The Social Conquest of Earth ,0.5,Science,None,None,None
 ANT219H5 , How Do We Know? The Social Anthropology of Knowledge ,0.5,Social Science,None,None,None
 ANT220H5 , Introduction to the Anthropology of Health ,0.5,Science,None,ANT101H5 and  ANT102H5,ANT208H1
 ANT221H5 , The Trust Paradox ,0.5,Science,None,None,None
 ANT241H5 , Anthropology and the Indigenous Peoples of Turtle Island (in Canada) ,0.5,Social Science,None,None,ANT241Y5
 ANT299H5 , Research Opportunity Program ,0.5,None,None,None,ANT299Y5
 ANT299Y5 , Research Opportunity Program ,1.0,None,None,None,ANT299H5
 ANT300H5 , Cultural Heritage Management: The Past in the Present and for the Future ,0.5,Science,None,ANT200H5 and  ANT201H5,None
 ANT306H5 , Forensic Anthropology Field School ,0.5,Science,None,ANT205H5,None
 ANT310H5 , Political Anthropology of Ancient States ,0.5,Social Science,None,ANT200H5 and  ANT201H5,None
 ANT312H5 , Archaeological Analysis ,0.5,Science,None,ANT200H5 and  ANT201H5,ARH312Y1
 ANT313H5 ," China, Korea and Japan in Prehistory ",0.5,Science,None,ANT200H5 and  ANT201H5,None
