Program,Courses,Pre-Requisites
"Statistics, Applied",  STA107H5 ,
"Statistics, Applied",  STA215H5 ,
"Statistics, Applied",  STA218H5 ,
"Statistics, Applied",  STA220H5 ,
"Statistics, Applied",  STA221H5 ,STA215H5 or  STA220H5
"Statistics, Applied",  STA246H5 ,CSC148H5 and  ( MAT134H5 or  MAT136H5 or  MAT134Y5 or  MAT135Y5 or  MAT137Y5 or  MAT157Y5 or 65%+ in  MAT133Y5)
"Statistics, Applied",  STA256H5 ,MAT134H5 or  MAT136H5 or  MAT134Y5 or  MAT135Y5 or  MAT137Y5 or  MAT157Y5 or 65%+ in  MAT133Y5
"Statistics, Applied",  STA258H5 ,STA256H5
"Statistics, Applied",  STA260H5 ,STA256H5 or  ECO227Y5
"Statistics, Applied",  STA302H5 ,STA260H5 and ( MAT223H5 or  MAT240H5)
"Statistics, Applied",  STA304H5 , STA258H5 or  STA260H5 or  STA238H1 or  STA255H1 or  ECO227Y5
"Statistics, Applied",  STA305H5 ,STA302H5 or  ECO375H5
"Statistics, Applied",  STA312H5 ,Appropriate prerequisite requirement(s) will be available on the UTM timetable along with the topic title prior to course registration.
"Statistics, Applied",  STA313H5 ,Appropriate prerequisite requirement(s) will be available on the UTM timetable along with the topic title prior to course registration.
"Statistics, Applied",  STA314H5 ,( MAT223H5 or  MAT240H5) and ( STA258H5 or  ECO375H5) and  STA260H5
"Statistics, Applied",  STA315H5 ,STA314H5
"Statistics, Applied",  STA348H5 ,STA260H5  and ( MAT223H5 or  MAT240H5)
"Statistics, Applied",  STA360H5 ,STA258H5 or  STA238H1 or  STA255H1 or  ECO227Y5 or  ECO227Y1 or  STA260H5 or  STA246H5
"Statistics, Applied",  STA378H5 ,Permission of instructor and department and a minimum CGPA of 2.5
"Statistics, Applied",  STA380H5 ,STA260H5
"Statistics, Applied",  STA388H5 ,Appropriate prerequisite requirement(s) will be available on the UTM timetable along with the topic title prior to course registration.
"Statistics, Applied",  STA398H5 ,Permission of instructor and department and a minimum CGPA of 2.5
"Statistics, Applied",  STA399Y5 ,Permission of instructor and department.
"Statistics, Applied",  STA413H5 ,STA260H5
"Statistics, Applied",  STA431H5 ,STA302H5 or STA302H
"Statistics, Applied",  STA437H5 ,STA302H5 or  ECO375H5
"Statistics, Applied",  STA441H5 ,STA302H5 or  STA302H1 or  STAC67H3 or  STA221H5 or  BIO360H5 or  ECO357H5 or  GGR376H5 or  PSY202H5 or  SOC350H5 or permission of the instructor
"Statistics, Applied",  STA457H5 ,STA302H5 or  ECO227Y5
"Statistics, Applied",  STA478H5 ,Permission of instructor and department and a minimum CGPA of 2.5.
"Statistics, Applied",  STA488H5 ,"Appropriate prerequisite requirement(s) will be available on the UTM timetable along with the topic title prior to course registration. The contact hours for this course may vary in terms of contact type (L, T) from year to year, but will be between 36-48 contact hours in total. See the UTM Timetable."
"Statistics, Applied",  STA498H5 ,Permission of instructor and department and a minimum CGPA of 2.5
Computer Science,  CBJ481Y5 ,permission of instructor
Computer Science,  CSC104H5 ,
Computer Science,  CSC108H5 ,Grade 12 Advanced Functions (MHF4U).
Computer Science,  CSC148H5 ,CSC108H5
Computer Science,  CSC199H5 ,permission of instructor
Computer Science,  CSC207H5 ,60% in  CSC148H5 (Only  CSC148H5 taken at the UTM campus will be accepted.)
Computer Science,  CSC209H5 ,CSC207H5
Computer Science,  CSC236H5 ,CSC148H5 and  MAT102H5
Computer Science,  CSC258H5 ,CSC148H5
Computer Science,  CSC263H5 ,CSC207H5 and  CSC236H5 and ( STA107H5 or  STA246H5 or  STA256H5)
Computer Science,  CSC290H5 ,CSC148H5
Computer Science,  CSC299Y5 ,
Computer Science,  CSC300H5 ,Any CSC half-course and CGPA 2.0
Computer Science,  CSC301H5 ,CSC209H5
Computer Science,  CSC309H5 ,CSC209H5 and  CSC263H5
Computer Science,  CSC310H5 ,CSC148H5 and  MAT223H5 and ( STA246H5 or  STA256H5)
Computer Science,  CSC311H5 ,CSC207H5 and ( MAT223H5 or  MAT240H5) and  MAT232H5 and ( STA246H5 or  STA256H5)
Computer Science,  CSC318H5 ,Any CSC half-course and (CGPA 3.0 or enrolment in CSC specialist or major program)
Computer Science,  CSC322H5 ,( MAT224H5 or  MAT240H5) and  MAT301H5
Computer Science,  CSC324H5 ,CSC207H5 and  CSC236H5
Computer Science,  CSC333H5 ,CSC209H5
Computer Science,  CSC338H5 ,CSC148H5 and ( MAT134H5 or  MAT136H5 or  MAT134Y5 or  MAT135Y5 or  MAT137Y5 or  MAT157Y5 or  MAT233H5) and ( MAT223H5 or  MAT240H5) and ( CSC263H5 or 1.0 MAT credit at the 200+ level).
Computer Science,  CSC343H5 ,CSC263H5
Computer Science,  CSC347H5 ,CSC209H5 and  CSC236H5
Computer Science,  CSC358H5 ,CSC209H5 and  CSC258H5 and  CSC263H5
Computer Science,  CSC363H5 ,( CSC236H5 or  CSC238H5) or  MAT202H5
Computer Science,  CSC367H5 ,CSC209H5 and  CSC258H5
Computer Science,  CSC369H5 ,CSC258H5 and  CSC209H5
Computer Science,  CSC373H5 ,CSC263H5
Computer Science,  CSC375H5 ,CSC209H5 and ( MAT223H5 or  MAT240H5) and ( STA246H5 or  STA256H5) and  CSC376H5
Computer Science,  CSC376H5 ,( MAT223H5 or  MAT240H5) and  CSC209H5 and  CSC258H5
